url, malicious_bit
http://www.oblogdacarla.com/~wscrxcom/paypal.com/0d08de967d7f1585b7d625150baa9a35/, True
http://www.sanders.senate.gov/newsroom/press-releases/sanders-statement-on-net-neutrality-, False
http://instruminahui.edu.ec/201403/editor.html, True
http://sirdarryl.com/wp-admin/network/gogdocsrt/, True
http://id.yahoo.co.jp/security/, False
http://nlznrsil.co.cc/showthread.php?t=20140028, True
https://id.pinterest.com/, False
http://aseandental.com.vn/en/upload/faqs/vodafone.co.uk/intel/, True
http://domestic.hotel.travel.yahoo.co.jp/season/rotentsuki/index6.html, False
http://cd.focus.cn/news/2014-04-24/4970695.html, False
http://images.neobux.com/imagens/banner9/?u=magnet5674&u3=2957842, False
http://www.ahorroenergialucense.es/images/leo/doc/fileindex.htm, True
http://www.stumbleupon.com/submit/visitor, False
http://www.accounting1.com.au/rediviewitemnumberdllcgisssl.htm, True
http://service.weibo.com/share/share.php, False
http://www.atelierartelivre.com.br/css/ingnewtong..html, True
http://col.stb01.s-msn.com/i/6C/BB5DB33D127754AFE4388BBC6E81B.Jpeg, False
http://cdn.optimizely.com/js/131788053.js, False
http://www.google.ru/textinputassistant/10/ru_tia.js, False
http://bvets.com/intl2/update/webscr2.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5a4a8aded97a0b4cddb2df08a5f9bfbdba4a8aded97a0b4cddb2df08a5f9bfbdb, True
http://433.adsina.allyes.com/main/adfshow?user=AFP6_for_SINA%7Csports%7Cyayunhuihomehopbanner&db=sina&border=0&local=yes, False
http://learn-esla.googleapps.com/, False
http://www.hellenkeller.cl/templates/_ca_cloudbase2_j15/html/mod_poll/cielo_2014/, True
http://sportday.cl/doc_filess/, True
http://stock.finance.sina.com.cn/usstock/quotes/.DJI.html, False
http://2sc.sohu.com/404.shtml, False
http://ristechclub.com/diplomation/2013gdocs, True
http://www.iznota.com.pl/112/log/aol/aol, True
http://feeds.theguardian.com/theguardian/commentisfree/rss, False
http://www.tse.or.jp/, False
http://generationfrsfr.com/d620cfafca518ae7c34f88cffdbc526e/sais.php?id=22548896665, True
http://img1.tuniucdn.com/s/20140328/common/reset.css,common/layout.css,common/foot.css,index/page_turn.css,common/powerFloat.css, False
http://tartarceg.clink.biz/1/v1me8yy3j1d5a3x8p9p4u2s.html, True
http://news.rti.org.tw/news/detail/?recordId=103545, False
